Gray Stained Glass;minecraft:gray_stained_glass;#4c4c4c;(76, 76, 76)
Cracked Stone Bricks;minecraft:cracked_stone_bricks;#767676;(118, 118, 118)
Cracked Deepslate Bricks;minecraft:cracked_deepslate_bricks;#414141;(65, 65, 65)
Deepslate Tiles;minecraft:deepslate_tiles;#373737;(55, 55, 55)
Stone;minecraft:stone;#7e7e7e;(126, 126, 126)
Pale Oak Planks;minecraft:pale_oak_planks;#C2B3B3;(194, 179, 179)
Red Stained Glass;minecraft:red_stained_glass;#993333;(153, 51, 51)
Coal Block;minecraft:coal_block;#101010;(16, 16, 16)
White Stained Glass;minecraft:white_stained_glass;#ffffff;(255, 255, 255)
Furnace;minecraft:furnace;#6e6e6e;(110, 110, 110)
Observer;minecraft:observer;#626262;(98, 98, 98)
Light Gray Stained Glass;minecraft:light_gray_stained_glass;#999999;(153, 153, 153)
Stone Bricks;minecraft:stone_bricks;#7a7a7a;(122, 122, 122)
Pearlescent Froglight;minecraft:pearlescent_froglight;#f6f0f0;(246, 240, 240)
Crimson Nylium;minecraft:crimson_nylium;#831f1f;(131, 31, 31)
Dropper;minecraft:dropper;#6e6e6e;(110, 110, 110)
Black Stained Glass;minecraft:black_stained_glass;#191919;(25, 25, 25)
Redstone Ore;minecraft:redstone_ore;#8c6e6e;(140, 110, 110)
Deepslate Bricks;minecraft:deepslate_bricks;#474747;(71, 71, 71)
Cracked Deepslate Tiles;minecraft:cracked_deepslate_tiles;#353535;(53, 53, 53)
Gravel;minecraft:gravel;#847f7f;(132, 127, 127)
Smooth Stone;minecraft:smooth_stone;#9f9f9f;(159, 159, 159)
Dispenser;minecraft:dispenser;#6e6e6e;(110, 110, 110)
Netherrack;minecraft:netherrack;#622626;(98, 38, 38)
Iron Block;minecraft:iron_block;#dcdcdc;(220, 220, 220)
Red Concrete;minecraft:red_concrete;#8e2121;(142, 33, 33)
Nether Wart Block;minecraft:nether_wart_block;#730302;(115, 3, 2)
Red Mushroom Block;minecraft:red_mushroom_block;#c82f2d;(200, 47, 45)
Stripped Mangrove Log;minecraft:stripped_mangrove_log;#6d2c2b;(109, 44, 43)
Red Concrete Powder;minecraft:red_concrete_powder;#a83633;(168, 54, 51)
Red Wool;minecraft:red_wool;#a12723;(161, 39, 35)
Red Glazed Terracotta;minecraft:red_glazed_terracotta;#b63c35;(182, 60, 53)
Nether Quartz Ore;minecraft:nether_quartz_ore;#76423e;(118, 66, 62)
Mangrove Planks;minecraft:mangrove_planks;#763631;(118, 54, 49)
Stripped Mangrove Wood;minecraft:stripped_mangrove_wood;#783630;(120, 54, 48)
Cherry Log;minecraft:cherry_log;#b98d89;(185, 141, 137)
Tnt;minecraft:tnt;#8f3e36;(143, 62, 54)
Stripped Cherry Log;minecraft:stripped_cherry_log;#dda59e;(221, 165, 158)
Cherry Planks;minecraft:cherry_planks;#e3b3ad;(227, 179, 173)
Mangrove Log;minecraft:mangrove_log;#67312a;(103, 49, 42)
Redstone Block;minecraft:redstone_block;#b01905;(176, 25, 5)
Red Terracotta;minecraft:red_terracotta;#8f3d2f;(143, 61, 47)
Waxed Exposed Copper Bulb;minecraft:waxed_exposed_copper_bulb;#77534C;(119, 83, 76)
Exposed Copper Bulb;minecraft:exposed_copper_bulb;#77534C;(119, 83, 76)
Suspicious Gravel;minecraft:suspicious_gravel;#827d7c;(130, 125, 124)
Target;minecraft:target;#e2aa9e;(226, 170, 158)
Nether Gold Ore;minecraft:nether_gold_ore;#73372a;(115, 55, 42)
Waxed Copper Bulb;minecraft:waxed_copper_bulb;#854A3D;(133, 74, 61)
Copper Bulb;minecraft:copper_bulb;#854A3D;(133, 74, 61)
Chiseled Resin Bricks;minecraft:chiseled_resin_bricks;#852B14;(133, 43, 20)
Ancient Debris;minecraft:ancient_debris;#5f423a;(95, 66, 58)
Bricks;minecraft:bricks;#976253;(151, 98, 83)
Cut Copper;minecraft:cut_copper;#bf6b51;(191, 107, 81)
Waxed Cut Copper;minecraft:waxed_cut_copper;#bf6b51;(191, 107, 81)
Light Gray Terracotta;minecraft:light_gray_terracotta;#876b62;(135, 107, 98)
Copper Block;minecraft:copper_block;#c06c50;(192, 108, 80)
Waxed Copper Block;minecraft:waxed_copper_block;#c06c50;(192, 108, 80)
Exposed Chiseled Copper;minecraft:exposed_chiseled_copper;#814632;(129, 70, 50)
Waxed Exposed Chiseled Copper;minecraft:waxed_exposed_chiseled_copper;#814632;(129, 70, 50)
Waxed Copper Grate;minecraft:waxed_copper_grate;#B06146;(176, 97, 70)
Copper Grate;minecraft:copper_grate;#B06146;(176, 97, 70)
Waxed Chiseled Copper;minecraft:waxed_chiseled_copper;#8E4830;(142, 72, 48)
Chiseled Copper;minecraft:chiseled_copper;#8E4830;(142, 72, 48)
Granite;minecraft:granite;#956756;(149, 103, 86)
Gray Terracotta;minecraft:gray_terracotta;#3a2a24;(58, 42, 36)
Polished Granite;minecraft:polished_granite;#9a6b59;(154, 107, 89)
Gilded Blackstone;minecraft:gilded_blackstone;#382b26;(56, 43, 38)
Magma Block;minecraft:magma_block;#8f3f20;(143, 63, 32)
Stripped Pale Oak Wood;minecraft:stripped_pale_oak_wood;#2E2927;(46, 41, 39)
Pale Oak Log;minecraft:pale_oak_log;#2E2927;(46, 41, 39)
Stripped Pale Oak Log;minecraft:stripped_pale_oak_log;#2E2927;(46, 41, 39)
Pale Oak Wood;minecraft:pale_oak_wood;#2E2927;(46, 41, 39)
Stripped Acacia Wood;minecraft:stripped_acacia_wood;#af5d3c;(175, 93, 60)
Dead Tube Coral Block;minecraft:dead_tube_coral_block;#827b78;(130, 123, 120)
Waxed Exposed Copper Grate;minecraft:waxed_exposed_copper_grate;#A67661;(166, 118, 97)
Exposed Copper Grate;minecraft:exposed_copper_grate;#A67661;(166, 118, 97)
Terracotta;minecraft:terracotta;#985e44;(152, 94, 68)
Creaking Heart;minecraft:creaking_heart;#4D3C34;(77, 60, 52)
Dead Fire Coral Block;minecraft:dead_fire_coral_block;#847c78;(132, 124, 120)
Black Terracotta;minecraft:black_terracotta;#251710;(37, 23, 16)
Dead Horn Coral Block;minecraft:dead_horn_coral_block;#867e7a;(134, 126, 122)
Resin Bricks;minecraft:resin_bricks;#C4490B;(196, 73, 11)
Acacia Planks;minecraft:acacia_planks;#a85a32;(168, 90, 50)
Stripped Acacia Log;minecraft:stripped_acacia_log;#a65b34;(166, 91, 52)
White Terracotta;minecraft:white_terracotta;#d2b2a1;(210, 178, 161)
Acacia Log;minecraft:acacia_log;#975937;(151, 89, 55)
Raw Copper Block;minecraft:raw_copper_block;#9a6a4f;(154, 106, 79)
Jukebox;minecraft:jukebox;#5e402f;(94, 64, 47)
Brown Terracotta;minecraft:brown_terracotta;#4d3324;(77, 51, 36)
Dripstone Block;minecraft:dripstone_block;#866c5d;(134, 108, 93)
Resin Block;minecraft:resin_block;#B64E12;(182, 78, 18)
Soul Sand;minecraft:soul_sand;#513e33;(81, 62, 51)
Orange Terracotta;minecraft:orange_terracotta;#a25426;(162, 84, 38)
Note Block;minecraft:note_block;#593b29;(89, 59, 41)
Soul Soil;minecraft:soul_soil;#4c3a2f;(76, 58, 47)
Dead Bubble Coral Block;minecraft:dead_bubble_coral_block;#847c77;(132, 124, 119)
Redstone Lamp;minecraft:redstone_lamp;#5f371e;(95, 55, 30)
Waxed Exposed Copper;minecraft:waxed_exposed_copper;#a17e68;(161, 126, 104)
Exposed Copper;minecraft:exposed_copper;#a17e68;(161, 126, 104)
Exposed Cut Copper;minecraft:exposed_cut_copper;#9b7a65;(155, 122, 101)
Waxed Exposed Cut Copper;minecraft:waxed_exposed_cut_copper;#9b7a65;(155, 122, 101)
Crafting Table;minecraft:crafting_table;#78492a;(120, 73, 42)
Dead Brain Coral Block;minecraft:dead_brain_coral_block;#7c7672;(124, 118, 114)
Rooted Dirt;minecraft:rooted_dirt;#90684d;(144, 104, 77)
Deepslate Iron Ore;minecraft:deepslate_iron_ore;#6b645f;(107, 100, 95)
Brown Wool;minecraft:brown_wool;#724829;(114, 72, 41)
Jungle Planks;minecraft:jungle_planks;#a07351;(160, 115, 81)
Orange Concrete;minecraft:orange_concrete;#e06101;(224, 97, 1)
Brown Concrete Powder;minecraft:brown_concrete_powder;#7e5536;(126, 85, 54)
Mud Bricks;minecraft:mud_bricks;#89684f;(137, 104, 79)
Dirt;minecraft:dirt;#866043;(134, 96, 67)
Packed Mud;minecraft:packed_mud;#8e6b50;(142, 107, 80)
Brown Concrete;minecraft:brown_concrete;#603c20;(96, 60, 32)
Red Sand;minecraft:red_sand;#bf6721;(191, 103, 33)
Orange Wool;minecraft:orange_wool;#f17614;(241, 118, 20)
Cut Red Sandstone;minecraft:cut_red_sandstone;#b5621f;(181, 98, 31)
Red Sandstone;minecraft:red_sandstone;#b5621f;(181, 98, 31)
Chiseled Red Sandstone;minecraft:chiseled_red_sandstone;#b5621f;(181, 98, 31)
Smooth Red Sandstone;minecraft:smooth_red_sandstone;#b5621f;(181, 98, 31)
Shroomlight;minecraft:shroomlight;#f19347;(241, 147, 71)
Coarse Dirt;minecraft:coarse_dirt;#77563b;(119, 86, 59)
Brown Mushroom Block;minecraft:brown_mushroom_block;#957051;(149, 112, 81)
Orange Stained Glass;minecraft:orange_stained_glass;#d87f33;(216, 127, 51)
Smooth Quartz;minecraft:smooth_quartz;#ede6e0;(237, 230, 224)
Iron Ore;minecraft:iron_ore;#88817b;(136, 129, 123)
Jungle Log;minecraft:jungle_log;#966d47;(150, 109, 71)
Stripped Jungle Log;minecraft:stripped_jungle_log;#a67b52;(166, 123, 82)
Stripped Dark Oak Log;minecraft:stripped_dark_oak_log;#422c17;(66, 44, 23)
Dark Oak Planks;minecraft:dark_oak_planks;#432b14;(67, 43, 20)
Brown Stained Glass;minecraft:brown_stained_glass;#664c33;(102, 76, 51)
Raw Iron Block;minecraft:raw_iron_block;#a6886b;(166, 136, 107)
Dark Oak Log;minecraft:dark_oak_log;#442d16;(68, 45, 22)
Spruce Wood;minecraft:spruce_wood;#3b2611;(59, 38, 17)
Orange Concrete Powder;minecraft:orange_concrete_powder;#e38420;(227, 132, 32)
Spruce Log;minecraft:spruce_log;#6d502f;(109, 80, 47)
Glowstone;minecraft:glowstone;#ac8354;(172, 131, 84)
Barrel;minecraft:barrel;#6c5132;(108, 81, 50)
Quartz Block;minecraft:quartz_block;#ece6df;(236, 230, 223)
Quartz Bricks;minecraft:quartz_bricks;#ebe5de;(235, 229, 222)
Loom;minecraft:loom;#8e775c;(142, 119, 92)
Spruce Planks;minecraft:spruce_planks;#735531;(115, 85, 49)
Jack O Lantern;minecraft:jack_o_lantern;#c67718;(198, 119, 24)
Pumpkin;minecraft:pumpkin;#c67718;(198, 119, 24)
Carved Pumpkin;minecraft:carved_pumpkin;#c67718;(198, 119, 24)
Cartography Table;minecraft:cartography_table;#675743;(103, 87, 67)
Stripped Jungle Wood;minecraft:stripped_jungle_wood;#ab8555;(171, 133, 85)
Stripped Spruce Log;minecraft:stripped_spruce_log;#6a502f;(106, 80, 47)
Muddy Mangrove Roots;minecraft:muddy_mangrove_roots;#463b2d;(70, 59, 45)
Stripped Dark Oak Wood;minecraft:stripped_dark_oak_wood;#493924;(73, 57, 36)
Podzol;minecraft:podzol;#5c3f18;(92, 63, 24)
Mangrove Roots;minecraft:mangrove_roots;#4b3c27;(75, 60, 39)
Quartz Pillar;minecraft:quartz_pillar;#ebe6df;(235, 230, 223)
Oak Wood;minecraft:oak_wood;#6d5533;(109, 85, 51)
Brown Glazed Terracotta;minecraft:brown_glazed_terracotta;#786a56;(120, 106, 86)
Honeycomb Block;minecraft:honeycomb_block;#e5941e;(229, 148, 30)
Stripped Spruce Wood;minecraft:stripped_spruce_wood;#745a34;(116, 90, 52)
Mangrove Wood;minecraft:mangrove_wood;#544329;(84, 67, 41)
Honey Block;minecraft:honey_block;#f5a01e;(245, 160, 30)
Beehive;minecraft:beehive;#b5925a;(181, 146, 90)
Dark Oak Wood;minecraft:dark_oak_wood;#3c2f1a;(60, 47, 26)
Acacia Wood;minecraft:acacia_wood;#676157;(103, 97, 87)
Oak Planks;minecraft:oak_planks;#a2834f;(162, 131, 79)
Bookshelf;minecraft:bookshelf;#a2834f;(162, 131, 79)
Oak Log;minecraft:oak_log;#977a49;(151, 122, 73)
Chiseled Bookshelf;minecraft:chiseled_bookshelf;#b29159;(178, 145, 89)
Stripped Oak Wood;minecraft:stripped_oak_wood;#b19056;(177, 144, 86)
Stripped Oak Log;minecraft:stripped_oak_log;#a0824d;(160, 130, 77)
Mushroom Stem;minecraft:mushroom_stem;#cbc5ba;(203, 197, 186)
Yellow Terracotta;minecraft:yellow_terracotta;#ba8523;(186, 133, 35)
Chiseled Quartz Block;minecraft:chiseled_quartz_block;#e8e3d9;(232, 227, 217)
Bee Nest;minecraft:bee_nest;#caa04b;(202, 160, 75)
Deepslate Gold Ore;minecraft:deepslate_gold_ore;#73674e;(115, 103, 78)
Raw Gold Block;minecraft:raw_gold_block;#dea92f;(222, 169, 47)
Yellow Concrete;minecraft:yellow_concrete;#f1af15;(241, 175, 21)
Yellow Glazed Terracotta;minecraft:yellow_glazed_terracotta;#eac059;(234, 192, 89)
Gold Ore;minecraft:gold_ore;#91866b;(145, 134, 107)
Birch Wood;minecraft:birch_wood;#d9d7d2;(217, 215, 210)
Jungle Wood;minecraft:jungle_wood;#554419;(85, 68, 25)
Stripped Birch Wood;minecraft:stripped_birch_wood;#c5b076;(197, 176, 118)
Fletching Table;minecraft:fletching_table;#c5b485;(197, 180, 133)
Stripped Birch Log;minecraft:stripped_birch_log;#bfac74;(191, 172, 116)
Smoker;minecraft:smoker;#555451;(85, 84, 81)
Yellow Wool;minecraft:yellow_wool;#f9c628;(249, 198, 40)
Birch Log;minecraft:birch_log;#c1b387;(193, 179, 135)
Birch Planks;minecraft:birch_planks;#c0af79;(192, 175, 121)
Suspicious Sand;minecraft:suspicious_sand;#dacc9f;(218, 204, 159)
Sand;minecraft:sand;#dbcfa3;(219, 207, 163)
Gold Block;minecraft:gold_block;#f6d03e;(246, 208, 62)
Yellow Concrete Powder;minecraft:yellow_concrete_powder;#e9c737;(233, 199, 55)
Chiseled Sandstone;minecraft:chiseled_sandstone;#e0d6aa;(224, 214, 170)
Cut Sandstone;minecraft:cut_sandstone;#e0d6aa;(224, 214, 170)
Smooth Sandstone;minecraft:smooth_sandstone;#e0d6aa;(224, 214, 170)
Sandstone;minecraft:sandstone;#e0d6aa;(224, 214, 170)
Stripped Bamboo Block;minecraft:stripped_bamboo_block;#b29f49;(178, 159, 73)
Bamboo Mosaic;minecraft:bamboo_mosaic;#beaa4e;(190, 170, 78)
Bamboo Planks;minecraft:bamboo_planks;#c1ad50;(193, 173, 80)
Hay Block;minecraft:hay_block;#a68b0c;(166, 139, 12)
Ochre Froglight;minecraft:ochre_froglight;#fbf5ce;(251, 245, 206)
Bone Block;minecraft:bone_block;#d2ceb3;(210, 206, 179)
Orange Glazed Terracotta;minecraft:orange_glazed_terracotta;#9b935c;(155, 147, 92)
Horn Coral Block;minecraft:horn_coral_block;#d8c842;(216, 200, 66)
Sponge;minecraft:sponge;#c4c04b;(196, 192, 75)
Yellow Stained Glass;minecraft:yellow_stained_glass;#e5e533;(229, 229, 51)
Coal Ore;minecraft:coal_ore;#6a6a69;(106, 106, 105)
Light Gray Concrete Powder;minecraft:light_gray_concrete_powder;#9b9b94;(155, 155, 148)
Light Gray Concrete;minecraft:light_gray_concrete;#7d7d73;(125, 125, 115)
Light Gray Wool;minecraft:light_gray_wool;#8e8e87;(142, 142, 135)
Bamboo Block;minecraft:bamboo_block;#8b8e3e;(139, 142, 62)
End Stone;minecraft:end_stone;#dcdf9e;(220, 223, 158)
Wet Sponge;minecraft:wet_sponge;#abb546;(171, 181, 70)
End Stone Bricks;minecraft:end_stone_bricks;#dae0a2;(218, 224, 162)
Tuff;minecraft:tuff;#6c6d67;(108, 109, 103)
Copper Ore;minecraft:copper_ore;#7d7e78;(125, 126, 120)
Green Terracotta;minecraft:green_terracotta;#4c532a;(76, 83, 42)
Lime Terracotta;minecraft:lime_terracotta;#687635;(104, 118, 53)
Flowering Azalea Leaves;minecraft:flowering_azalea_leaves;#646f3d;(100, 111, 61)
Lime Glazed Terracotta;minecraft:lime_glazed_terracotta;#a3c637;(163, 198, 55)
Deepslate Copper Ore;minecraft:deepslate_copper_ore;#5c5d59;(92, 93, 89)
Green Concrete Powder;minecraft:green_concrete_powder;#61772d;(97, 119, 45)
Melon;minecraft:melon;#6f911f;(111, 145, 31)
Green Wool;minecraft:green_wool;#556e1c;(85, 110, 28)
Moss Block;minecraft:moss_block;#596e2d;(89, 110, 45)
Green Concrete;minecraft:green_concrete;#495b24;(73, 91, 36)
